case,leak_binary,leak_location,inlet_mean,outlet1_mean,outlet1_std,outlet1_min,outlet1_max,outlet1_cv,outlet2_mean,outlet2_std,outlet2_min,outlet2_max,outlet2_cv,outlet3_mean,outlet3_std,outlet3_min,outlet3_max,outlet3_cv,mass_residual,mass_residual_norm,outlet1_fraction,outlet2_fraction,outlet3_fraction,out12_diff,out13_diff,out23_diff
PipeNoLeak_0.611Inlet_1,0,No Leak,-0.0611,0.0023120226800000003,1.6245951083811622e-05,0.002287403,0.002345002,0.007026726518437481,0.048363625399999985,0.0002710634841966727,0.04790671,0.04885751,0.005604697372233557,0.010424352419999998,0.0002551116124063418,0.009955086,0.01084829,0.024472658070578662,4.999999789201404e-10,8.183305710640594e-09,0.03783997839607202,0.7915486972176756,0.17061133256955807,0.7537087188216037,0.13277135417348604,0.6209373646481177
PipeNoLeak_0.611Inlet_2,0,No Leak,-0.0611,0.0023120226800000003,1.6245951083811622e-05,0.002287403,0.002345002,0.007026726518437481,0.048363625399999985,0.0002710634841966727,0.04790671,0.04885751,0.005604697372233557,0.010424352419999998,0.0002551116124063418,0.009955086,0.01084829,0.024472658070578662,4.999999789201404e-10,8.183305710640594e-09,0.03783997839607202,0.7915486972176756,0.17061133256955807,0.7537087188216037,0.13277135417348604,0.6209373646481177
PipeNoLeak_0.611Inlet_3,0,No Leak,-0.0611,0.0023120226800000003,1.6245951083811622e-05,0.002287403,0.002345002,0.007026726518437481,0.048363625399999985,0.0002710634841966727,0.04790671,0.04885751,0.005604697372233557,0.010424352419999998,0.0002551116124063418,0.009955086,0.01084829,0.024472658070578662,4.999999789201404e-10,8.183305710640594e-09,0.03783997839607202,0.7915486972176756,0.17061133256955807,0.7537087188216037,0.13277135417348604,0.6209373646481177
PipeNoLeak_0.611Inlet_4,0,No Leak,-0.0611,0.0023120226800000003,1.6245951083811622e-05,0.002287403,0.002345002,0.007026726518437481,0.048363625399999985,0.0002710634841966727,0.04790671,0.04885751,0.005604697372233557,0.010424352419999998,0.0002551116124063418,0.009955086,0.01084829,0.024472658070578662,4.999999789201404e-10,8.183305710640594e-09,0.03783997839607202,0.7915486972176756,0.17061133256955807,0.7537087188216037,0.13277135417348604,0.6209373646481177
PipeNoLeak_0.611Inlet_5,0,No Leak,-0.0611,0.0023120226800000003,1.6245951083811622e-05,0.002287403,0.002345002,0.007026726518437481,0.048363625399999985,0.0002710634841966727,0.04790671,0.04885751,0.005604697372233557,0.010424352419999998,0.0002551116124063418,0.009955086,0.01084829,0.024472658070578662,4.999999789201404e-10,8.183305710640594e-09,0.03783997839607202,0.7915486972176756,0.17061133256955807,0.7537087188216037,0.13277135417348604,0.6209373646481177
PipeNoLeak_0.611Inlet_6,0,No Leak,-0.0611,0.0023120226800000003,1.6245951083811622e-05,0.002287403,0.002345002,0.007026726518437481,0.048363625399999985,0.0002710634841966727,0.04790671,0.04885751,0.005604697372233557,0.010424352419999998,0.0002551116124063418,0.009955086,0.01084829,0.024472658070578662,4.999999789201404e-10,8.183305710640594e-09,0.03783997839607202,0.7915486972176756,0.17061133256955807,0.7537087188216037,0.13277135417348604,0.6209373646481177
PipeNoLeak_0.611Inlet_7,0,No Leak,-0.0611,0.0023120226800000003,1.6245951083811622e-05,0.002287403,0.002345002,0.007026726518437481,0.048363625399999985,0.0002710634841966727,0.04790671,0.04885751,0.005604697372233557,0.010424352419999998,0.0002551116124063418,0.009955086,0.01084829,0.024472658070578662,4.999999789201404e-10,8.183305710640594e-09,0.03783997839607202,0.7915486972176756,0.17061133256955807,0.7537087188216037,0.13277135417348604,0.6209373646481177
PipeNoLeak_0.611Inlet_8,0,No Leak,-0.0611,0.0023120226800000003,1.6245951083811622e-05,0.002287403,0.002345002,0.007026726518437481,0.048363625399999985,0.0002710634841966727,0.04790671,0.04885751,0.005604697372233557,0.010424352419999998,0.0002551116124063418,0.009955086,0.01084829,0.024472658070578662,4.999999789201404e-10,8.183305710640594e-09,0.03783997839607202,0.7915486972176756,0.17061133256955807,0.7537087188216037,0.13277135417348604,0.6209373646481177
PipeNoLeak_0.611Inlet_9,0,No Leak,-0.0611,0.0023120226800000003,1.6245951083811622e-05,0.002287403,0.002345002,0.007026726518437481,0.048363625399999985,0.0002710634841966727,0.04790671,0.04885751,0.005604697372233557,0.010424352419999998,0.0002551116124063418,0.009955086,0.01084829,0.024472658070578662,4.999999789201404e-10,8.183305710640594e-09,0.03783997839607202,0.7915486972176756,0.17061133256955807,0.7537087188216037,0.13277135417348604,0.6209373646481177
PipeNoLeak_0.611Inlet_10,0,No Leak,-0.0611,0.0023120226800000003,1.6245951083811622e-05,0.002287403,0.002345002,0.007026726518437481,0.048363625399999985,0.0002710634841966727,0.04790671,0.04885751,0.005604697372233557,0.010424352419999998,0.0002551116124063418,0.009955086,0.01084829,0.024472658070578662,4.999999789201404e-10,8.183305710640594e-09,0.03783997839607202,0.7915486972176756,0.17061133256955807,0.7537087188216037,0.13277135417348604,0.6209373646481177
